criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,22.8
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-1,,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005125153064
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-1,,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.6
WATER_USE,MANUFACTURING,solid-state-drive-ssd-1,,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,30.8
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-10,,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.0000504198628
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-10,,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,22.7
WATER_USE,MANUFACTURING,solid-state-drive-ssd-10,,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,8.68
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-11,,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005125153064
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-11,,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,22.9
WATER_USE,MANUFACTURING,solid-state-drive-ssd-11,,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,31.5
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-12,,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005239507392
